ticker,shares,cost_basis
ADI,10,
AMD,10,
AUPH,10,
AVGO,10,
CPRX,10,
CSCO,10,
EXEL,10,
GMED,10,
HRMY,10,
INCY,10,
INTU,10,
MNKD,10,
MU,10,
NBIX,10,
PEGA,10,
PTC,10,
SEZL,10,
SIMO,10,
SYK,10,
TGTX,10,
TMDX,10,
APP,10,
