ticker,shares,added_date
NVDA,0,2026-03-10
MU,0,2026-03-10
INCY,0,2026-03-10
PTC,0,2026-03-10
GOOG,0,2026-03-10
META,0,2026-03-10
ADI,0,2026-03-10
STX,0,2026-03-10
JPM,0,2026-03-10
