MF Rank,EY Rank,ROC Rank,Combined Rank,MF Score,Grade,Ticker,Sector,Price,Market Cap,EBIT,EV,Earnings Yield %,ROC % (Greenblatt),ROE %,Gross Margin %,Op Margin %,FCF Margin %,P/E,D/E,Beta,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %
1,7,5,12,100.0,A+,MO,Consumer Non-Durables,67.44,112761163379.51,12836199424.55,117973820000.0,10.88,750.7,,75.9,63.8,45.1,16.4,,0.02,-1.4,-37.1,0.9,13.3
2,16,14,30,99.7,A+,CI,Health Services,265.88,70066903284.4,10235000000.0,104752335770.0,9.77,280.3,14.4,,3.7,3.1,12.0,0.75,0.2,12.5,81.3,-7.6,-3.6
3,23,9,32,99.4,A+,CPAY,Commercial Services,301.48,20515804705.42,2080307000.0,22571199390.0,9.22,440.5,30.5,72.6,45.9,28.7,20.0,2.6,1.23,13.9,7.7,-6.3,-3.4
4,33,10,43,99.1,A+,ADBE,Technology Services,254.63,104525615253.76,8709609741.14,107616510000.0,8.09,398.6,58.8,88.8,36.6,43.4,14.8,0.58,0.96,11.0,13.1,-2.9,-26.8
5,28,32,60,98.9,A+,FISV,Commercial Services,58.71,31396788435.39,5705000000.0,65049290000.0,8.77,148.3,13.2,59.4,26.9,20.5,9.3,1.15,0.34,3.6,17.7,-0.9,-13.3
6,10,58,68,98.6,A+,BMY,Health Technology,60.52,123247389756.17,15115000000.0,146590540000.0,10.31,100.1,40.5,65.9,31.4,26.7,17.5,2.55,0.52,-0.2,,0.7,11.9
7,14,57,71,98.3,A+,OMC,Commercial Services,79.97,24817597032.8,2425500000.0,24197136567.16,10.02,101.5,-0.7,17.3,14.0,16.1,161.1,0.93,0.77,10.1,-93.3,18.4,-0.5
8,65,39,104,98.0,A+,KVUE,Consumer Non-Durables,17.82,34165749302.05,2736000000.0,40616800000.0,6.74,123.7,14.4,58.3,18.1,11.4,23.3,0.81,-0.02,-2.2,42.7,-4.4,3.2
9,27,82,109,97.7,A+,PFE,Health Technology,27.14,154325305610.54,17518000000.0,195700400000.0,8.95,69.4,8.9,66.2,28.0,14.5,20.0,0.78,0.69,-1.6,-3.7,-1.7,6.9
10,26,85,111,97.4,A+,MRK,Health Technology,115.86,286463710246.92,26692000000.0,297786880000.0,8.96,65.9,36.9,74.2,41.1,19.0,15.9,0.96,0.72,1.5,8.0,-4.6,18.0
11,36,80,116,97.1,A+,NTAP,Electronic Technology,103.12,20348731580.57,1524448486.66,19203000000.0,7.94,71.1,112.6,70.3,23.2,24.5,17.2,2.36,1.39,3.0,10.6,4.6,-9.3
12,40,77,117,96.8,A+,GIS,Consumer Non-Durables,38.88,20743003593.97,3062569919.1,39031509000.0,7.85,76.0,27.3,33.9,15.7,9.1,8.4,1.47,-0.01,-5.7,0.8,-19.9,-19.0
13,69,49,118,96.6,A+,KDP,Consumer Non-Durables,27.55,37431247694.0,3576000000.0,55114630000.0,6.49,110.7,8.4,51.6,21.5,8.3,18.1,0.7,0.19,8.2,45.1,-7.7,-3.3
14,61,59,120,96.3,A+,GILD,Health Technology,144.31,179143198185.39,11822000000.0,169637220000.0,6.97,97.4,40.5,78.8,40.1,32.1,21.3,1.13,0.2,2.5,1747.5,-5.0,21.0
15,15,108,123,96.0,A+,KHC,Consumer Non-Durables,22.82,27007135404.84,4672000000.0,46700310000.0,10.0,53.9,-12.9,33.4,18.7,14.7,,0.52,0.17,-3.5,-318.1,-6.3,-7.6
16,31,98,129,95.7,A+,CTSH,Technology Services,61.36,29345230504.64,3355000000.0,39256000000.0,8.55,59.2,15.2,31.2,15.9,12.3,13.5,0.08,0.95,7.0,1.1,-6.9,-26.6
17,62,68,130,95.4,A+,ACN,Technology Services,199.97,123042891829.41,10862647258.14,156112227000.0,6.96,87.1,25.3,31.9,15.6,16.5,16.5,0.27,0.71,6.6,1.4,-10.4,-26.7
18,112,23,135,95.1,A+,OTIS,Industrial Services,84.22,32736121962.49,2238000000.0,41750730000.0,5.36,172.6,,30.6,15.5,10.0,24.0,,0.55,1.2,-13.8,-7.6,-4.3
19,45,93,138,94.8,A+,LDOS,Technology Services,169.0,21360363365.08,2100000000.0,27851630000.0,7.54,60.4,31.0,18.0,12.2,9.5,15.2,1.09,0.73,3.1,20.6,-1.9,-6.7
20,75,63,138,94.6,A+,CL,Consumer Non-Durables,90.48,72524063105.13,4479000000.0,71057394000.0,6.3,96.1,1602.3,60.1,22.0,17.8,34.5,158.41,0.12,1.4,-25.4,-5.8,14.5
21,123,17,140,94.3,A+,FIS,Technology Services,50.8,26131706564.11,2447000000.0,47227740000.0,5.18,265.4,2.6,36.9,22.9,26.3,68.7,0.96,0.56,5.5,-50.2,7.8,-23.4
22,107,35,142,94.0,A+,BKNG,Consumer Services,4466.43,141466623111.8,9487000000.0,175150671690.0,5.42,135.4,,97.1,35.2,33.8,26.9,,1.04,13.4,-4.0,7.5,-17.7
23,119,29,148,93.7,A+,COR,Distribution Services,334.54,65078296421.13,3807463837.19,72269674250.0,5.27,150.0,152.3,3.3,1.2,1.1,40.2,4.15,-0.02,7.4,18.3,-5.1,-2.3
24,4,145,149,93.4,A+,PYPL,Commercial Services,46.51,42820106530.9,6562803143.47,56492820000.0,11.62,43.7,25.7,41.8,19.7,16.7,8.6,0.6,1.27,4.9,35.3,18.5,-24.2
25,6,143,149,93.1,A+,LULU,Consumer Non-Durables,162.05,19838492131.86,2337435819.32,20944790080.0,11.16,44.3,41.0,58.4,22.1,10.7,11.3,0.39,1.33,8.8,3.5,-5.6,-21.5
26,124,25,149,92.8,A+,ADP,Technology Services,210.02,84563372653.65,5402320915.61,106108481000.0,5.09,160.8,73.8,50.4,26.3,22.4,20.2,0.7,0.58,6.6,8.6,-0.3,-19.6
27,88,65,153,92.6,A+,EME,Industrial Services,723.85,32234897408.63,1577942000.0,26600741326.93,5.93,89.4,38.5,19.3,9.3,7.0,25.6,0.13,1.3,16.6,31.4,-7.8,16.5
28,24,134,158,92.3,A+,FOX,Consumer Services,53.09,23679387164.01,3102093135.48,34306130000.0,9.04,45.4,16.9,33.1,19.0,14.2,12.8,0.69,0.81,9.2,-11.1,0.9,-15.0
29,117,42,159,92.0,A+,ITW,Producer Manufacturing,267.19,77004165460.51,4216000000.0,79837260000.0,5.28,117.2,93.7,43.6,26.3,16.9,25.5,2.86,0.77,0.9,-10.4,-10.3,6.6
