MF Rank,EY Rank,ROC Rank,Combined Rank,MF Score,Grade,Ticker,Sector,Price,Market Cap,EBIT,EV,Earnings Yield %,ROC % (Greenblatt),ROE %,Gross Margin %,Op Margin %,FCF Margin %,P/E,D/E,Beta,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %
1,7,21,28,100.0,A+,MO,Consumer Non-Durables,68.18,113990012555.66,12836199424.55,117973820000.0,10.88,55.1,,75.9,63.8,45.1,16.6,,0.02,-1.4,-37.1,6.2,16.3
2,6,52,58,99.7,A+,LULU,Consumer Non-Durables,157.81,19319177679.77,2337435819.32,20944790080.0,11.16,39.4,41.0,58.4,22.1,10.7,11.0,0.39,1.35,8.8,3.5,-12.4,-22.9
3,23,40,63,99.4,A+,CPAY,Commercial Services,319.05,21711107989.3,2080307000.0,22571199390.0,9.22,42.5,30.5,72.6,45.9,28.7,21.2,2.6,1.21,13.9,7.7,-10.8,0.5
4,44,26,70,99.1,A+,LDOS,Technology Services,174.53,22059314991.88,2100000000.0,27851630000.0,7.54,48.6,31.0,18.0,12.2,9.5,15.7,1.09,0.74,3.1,20.6,-10.4,-8.4
5,68,4,72,98.9,A+,ADBE,Technology Services,253.08,103889339530.01,8705267449.2,133547210000.0,6.52,129.3,55.4,88.6,36.6,41.5,15.1,0.57,0.98,10.5,34.6,-3.8,-28.0
6,35,42,77,98.6,A+,NTAP,Electronic Technology,98.6,19456778864.12,1524448486.66,19203000000.0,7.94,42.1,112.6,70.3,23.2,24.5,16.5,2.36,1.38,3.0,10.6,-7.8,-17.2
7,10,75,85,98.3,A+,BMY,Health Technology,58.99,120131588355.25,15115000000.0,146590540000.0,10.31,33.7,40.5,65.9,31.4,26.7,17.1,2.55,0.54,-0.2,,-2.7,12.9
8,61,25,86,98.0,A+,ACN,Technology Services,197.25,121369260830.73,10862647258.14,156112227000.0,6.96,49.0,25.3,31.9,15.6,16.5,16.3,0.27,0.7,6.6,1.4,-18.5,-27.5
9,75,17,92,97.7,A+,CL,Consumer Non-Durables,89.12,71433952931.61,4479000000.0,71057394000.0,6.3,59.7,1602.3,60.1,22.0,17.8,34.0,158.41,0.15,1.4,-25.4,-4.5,14.7
10,31,72,103,97.4,A+,CTSH,Technology Services,60.99,29168279657.18,3355000000.0,39256000000.0,8.55,33.8,15.2,31.2,15.9,12.3,13.4,0.08,0.93,7.0,1.1,-18.1,-27.4
11,4,104,108,97.1,A+,PYPL,Commercial Services,44.76,41208945860.38,6562803143.47,56492820000.0,11.62,28.7,25.7,41.8,19.7,16.7,8.3,0.6,1.24,4.9,35.3,7.9,-26.7
12,14,98,112,96.8,A+,OMC,Commercial Services,78.29,24296232748.55,2425500000.0,24197136567.16,10.02,29.2,-0.7,17.3,14.0,16.1,157.7,0.93,0.75,10.1,-93.3,8.0,-2.8
13,43,70,113,96.6,A+,HCA,Health Services,536.43,119958782805.12,11965000000.0,158519270600.0,7.55,34.2,,15.8,15.8,10.2,18.9,,0.32,7.1,29.1,7.0,11.1
14,108,5,113,96.3,A+,BKNG,Consumer Services,4251.89,134671580030.41,9487000000.0,175150671690.0,5.42,95.9,,97.1,35.2,33.8,25.6,,1.02,13.4,-4.0,-0.0,-19.9
15,26,90,116,96.0,A+,MRK,Health Technology,116.43,287860620115.34,26692000000.0,297786880000.0,8.96,30.7,36.9,74.2,41.1,19.0,16.0,0.96,0.71,1.5,8.0,-0.5,17.7
16,28,89,117,95.7,A+,FISV,Commercial Services,56.84,30396754461.44,5705000000.0,65049290000.0,8.77,30.8,13.2,59.4,26.9,20.5,9.0,1.15,0.27,3.6,17.7,-9.3,-17.3
