MF Rank,EY Rank,ROC Rank,Combined Rank,MF Score,Grade,Ticker,Sector,Price,Market Cap,EBIT,EV,Earnings Yield %,ROC % (Greenblatt),ROE %,Gross Margin %,Op Margin %,FCF Margin %,P/E,D/E,Beta,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %
30,18,35,53,37.0,C+,CNQ,Energy Minerals,64.18,129559717462.0,8226000000.0,116175838730.0,7.08,9.8,25.8,23.3,21.2,21.7,12.4,0.44,0.37,8.7,80.8,20.9,39.2
31,36,17,53,34.8,C,FNV,Non-Energy Minerals,360.48,68798292250.0,1813568934.79,53945308135.92,3.36,16.3,16.3,73.9,71.3,-38.6,44.8,0.0,1.59,66.6,104.5,12.0,25.8
32,30,26,56,32.6,C,TFII,Transportation,150.79,12360444750.0,762717687.55,15824245956.75,4.82,13.1,11.5,12.2,6.9,8.9,29.0,1.2,0.83,-4.2,-23.4,-9.7,8.4
33,39,19,58,30.4,C,WCN,Industrial Services,226.36,57489925820.0,2469791385.17,74210833665.67,3.33,15.6,13.3,29.4,18.7,12.9,38.9,1.11,0.28,8.2,81.0,-1.9,-3.0
34,35,24,59,28.3,C,RBA,Technology Services,138.81,26081769711.0,1125395637.98,31936655500.0,3.52,14.0,7.9,35.8,17.5,15.7,48.5,0.84,0.75,9.3,3.8,-13.5,-2.0
35,15,46,61,26.1,C,AC,Transportation,17.61,5116017910.0,918000000.0,11760840000.0,7.81,4.6,25.9,30.5,4.1,3.3,8.3,4.47,1.45,0.5,-51.6,-17.0,-3.3
36,40,22,62,23.9,C,OR,Non-Energy Minerals,58.34,11125011772.0,282579312.92,9016282623.25,3.13,14.1,15.6,83.4,72.9,75.2,38.5,0.0,1.65,47.7,1189.2,5.9,20.7
37,25,38,63,21.7,C,PPL,Industrial Services,60.49,35263284802.0,2386000000.0,45365780000.0,5.26,8.1,9.9,36.6,31.1,32.4,22.7,0.79,0.48,5.0,-11.2,4.3,12.5
38,29,37,66,19.6,D,CP,Transportation,112.9,102370946432.0,5672000000.0,115034320000.0,4.93,8.7,8.8,40.3,37.6,14.4,25.0,0.51,0.74,3.7,13.6,2.9,9.2
39,32,42,74,17.4,D,TRP,Industrial Services,85.74,90098553177.0,6714626275.93,150843780000.0,4.45,6.8,13.6,50.0,44.2,13.7,26.2,2.22,0.35,-4.1,-26.2,5.2,15.9
40,34,41,75,15.2,D,CAE,Commercial Services,38.63,12460299162.0,605974995.37,16334762125.14,3.71,6.8,7.6,28.4,12.9,13.5,33.1,0.63,1.25,6.7,,-9.4,0.1
41,33,43,76,13.0,D,ENB,Industrial Services,72.86,159186338315.0,11355379341.0,259203213483.15,4.38,6.7,11.7,32.7,17.4,6.1,22.5,1.7,0.2,21.8,37.9,5.8,11.9
42,44,32,76,10.9,D,BB,Technology Services,4.74,2779595138.0,69139699.06,3293258110.0,2.1,10.2,2.8,72.4,9.3,8.0,191.9,0.31,1.52,-9.1,,0.0,-21.0
43,45,34,79,8.7,D,WPM,Non-Energy Minerals,202.06,93019186148.0,1127518864.3,69225859043.2,1.63,9.8,13.3,68.5,64.1,55.0,65.7,0.0,1.67,54.5,68.4,7.5,29.6
44,37,45,82,6.5,D,MDA,Electronic Technology,45.44,5619272470.0,121600000.0,3624291466.64,3.36,6.3,8.6,19.9,7.4,14.2,53.6,0.3,0.75,51.2,33.4,30.1,78.9
45,43,40,83,4.3,D,BYD,Consumer Services,218.93,6117272805.0,157156004.7,6831318191.76,2.3,7.0,1.9,38.6,3.7,8.9,213.4,1.59,0.72,4.2,-60.7,-7.4,-3.0
46,47,44,91,2.2,D,CCO,Non-Energy Minerals,156.74,71019263035.0,580896000.0,54525191675.04,1.07,6.3,8.9,26.7,16.7,29.4,115.8,0.15,1.43,11.0,243.1,0.9,22.3
47,46,47,93,0.0,D,GFL,Industrial Services,58.9,21153265600.0,399900000.0,29683213889.44,1.35,3.4,3.7,20.7,6.0,5.8,,1.09,0.51,-15.8,-97.4,1.6,-3.9
,,,,0.0,N/A,CTC,Retail Trade,217.5,10111085214.0,1403000000.0,19184422127.88,7.31,,9.6,33.0,8.6,2.3,22.2,1.31,0.22,-0.3,-38.4,3.6,-7.3
,,,,0.0,N/A,NFI,Producer Manufacturing,15.89,1884161095.0,-67963981.17,3607846619.19,,,-52.4,5.6,-1.6,1.2,,3.07,0.95,14.4,-1117.5,-9.0,18.6
,,,,0.0,N/A,IFP,Non-Energy Minerals,8.99,580039334.0,-57000000.0,1404181683.36,,,-24.6,0.1,-2.0,-3.3,,0.69,1.41,-7.2,-5.7,-23.2,10.3
,,,,0.0,N/A,TDG,Commercial Services,0.78,197485363.0,,259419140.86,,,-40.4,,,,,0.0,1.78,,-109.7,1.3,-21.2
,,,,0.0,N/A,TXF,Miscellaneous,22.55,0,,,,,,,,,,,1.25,,,-0.4,-7.3
