MF Rank,EY Rank,ROC Rank,Combined Rank,MF Score,Grade,Ticker,Sector,Price,Market Cap,EBIT,EV,Earnings Yield %,ROC % (Greenblatt),ROE %,Gross Margin %,Op Margin %,FCF Margin %,P/E,D/E,Beta,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %
267,192,263,455,38.9,C+,DE,Producer Manufacturing,594.04,160454514316.84,9645736178.22,197695200000.0,4.88,13.0,19.7,37.4,21.1,7.8,33.5,2.39,0.8,-2.7,-21.4,2.4,25.9
268,257,198,455,38.6,C+,SGI,Consumer Durables,79.0,16616909454.1,1006900000.0,25556812000.0,3.94,17.6,20.9,44.2,13.5,8.5,44.1,2.15,0.74,51.6,-16.9,-18.2,-14.7
269,291,165,456,38.4,C+,CRS,Non-Energy Minerals,408.14,20329338130.02,587478354.79,16303252000.0,3.6,20.5,23.5,29.0,20.4,11.0,47.4,0.35,1.67,2.3,62.5,10.3,34.7
270,143,316,459,38.2,C+,TMUS,Communications,213.44,235181593219.37,18816000000.0,343249649159.36,5.48,9.6,18.2,47.6,21.3,17.5,22.0,2.07,0.34,8.5,0.3,8.5,8.5
271,246,214,460,37.9,C+,WM,Industrial Services,236.5,95388910412.48,4607000000.0,112480695000.0,4.1,16.7,29.7,29.1,18.3,11.2,35.3,2.39,-0.07,14.2,-1.6,4.6,12.5
272,165,296,461,37.7,C+,STLD,Non-Energy Minerals,184.26,26696031476.08,1475986000.0,28368061050.0,5.2,10.7,13.3,13.0,8.1,2.8,23.0,0.49,1.28,3.6,-18.3,-8.3,7.6
273,55,407,462,37.5,C+,MTB,Finance,203.21,30279933273.22,3630958820.85,45814893760.0,7.93,2.0,9.8,,27.5,27.2,11.9,0.47,0.12,-2.2,16.5,-14.2,-0.6
274,132,330,462,37.2,C+,TXT,Electronic Technology,93.27,16244131626.31,1001000000.0,17675731250.0,5.66,8.7,12.2,18.2,6.8,6.3,18.2,0.54,1.23,8.0,18.3,-1.9,9.0
275,48,415,463,37.0,C+,USB,Finance,52.23,81149532866.61,10042892674.06,122749160000.0,8.18,1.6,12.2,,23.8,18.9,11.3,1.22,1.23,1.4,21.9,-13.6,-2.0
276,80,384,464,36.8,C+,AFL,Finance,109.33,56454673071.71,4753000000.0,66024303110.0,7.2,4.3,13.1,,27.7,14.9,15.9,0.29,0.5,-9.3,-28.3,-6.3,1.5
277,45,423,468,36.6,C+,CFG,Finance,58.51,24865792669.49,2328385877.67,27062493643.6,8.6,1.1,7.2,,19.3,16.9,15.1,0.47,1.28,-3.2,27.7,-13.4,1.3
278,335,134,469,36.3,C+,TRMB,Technology Services,67.6,15813627818.22,630400000.0,20100234000.0,3.14,24.5,7.3,66.1,17.6,10.1,38.4,0.27,1.21,-2.6,-71.2,2.8,-17.5
279,138,333,471,36.1,C+,RPRX,Health Technology,46.69,26935771742.92,1559130444.05,28131330160.0,5.54,8.6,11.5,,65.6,109.1,26.2,1.38,0.36,5.0,-7.1,4.6,21.9
280,280,196,476,35.9,C+,ABT,Health Technology,110.25,191579540750.21,8295000000.0,224719630000.0,3.69,18.0,13.0,52.7,18.7,16.7,29.7,0.27,0.43,5.7,-51.5,0.0,-10.4
281,224,256,480,35.6,C+,JBHT,Transportation,210.36,19900916478.14,878807000.0,20263654700.0,4.34,13.7,15.8,10.5,7.3,7.9,34.2,0.48,1.0,-0.7,10.5,-7.6,5.1
282,262,218,480,35.4,C+,LYV,Consumer Services,165.83,38533625014.59,1492276000.0,38392796055.0,3.89,16.5,-24.7,23.0,5.9,1.2,,38.39,0.75,8.8,-108.7,17.6,20.2
283,369,115,484,35.2,C+,ANET,Electronic Technology,138.23,173691219796.99,3856100000.0,156425074000.0,2.47,27.7,31.4,64.1,42.8,47.2,50.2,0.0,2.07,28.6,23.7,-0.0,2.0
284,184,301,485,34.9,C,PCAR,Producer Manufacturing,118.12,62118645860.09,3150849832.25,63874368000.0,4.93,10.5,12.9,15.7,11.1,10.6,26.2,0.81,0.8,-15.5,-42.9,-6.8,4.1
285,59,427,486,34.7,C,MET,Finance,69.96,45617689440.84,5722000000.0,73332068000.0,7.8,0.8,12.1,,7.4,23.5,14.9,0.72,1.03,8.6,-21.0,-7.9,-12.3
286,225,261,486,34.5,C,CME,Finance,303.33,108781866449.16,4229500000.0,97581227640.0,4.33,13.1,14.6,82.6,64.9,64.3,27.2,0.13,0.11,6.4,15.4,0.4,13.5
287,261,234,495,34.3,C,CARR,Producer Manufacturing,58.69,49055677107.87,2177000000.0,55899628000.0,3.89,14.9,10.4,26.0,10.0,9.8,34.4,0.9,1.28,-9.4,-59.2,-7.9,9.2
288,392,104,496,34.0,C,CDNS,Technology Services,294.16,80203020783.76,1678281000.0,84823882560.0,1.98,29.1,21.9,85.6,31.7,30.0,72.5,0.49,1.16,14.1,5.3,3.8,-13.0
289,223,274,497,33.8,C,SBAC,Finance,188.56,20491250937.0,1545678000.0,35587874930.0,4.34,12.1,,64.8,54.9,0.3,19.2,,-0.08,5.1,41.4,4.4,-1.1
290,313,184,497,33.6,C,HLT,Consumer Services,296.85,68065213527.41,2680249688.51,79502500000.0,3.37,19.0,,26.7,22.4,16.9,48.5,,0.87,7.7,-0.4,-5.1,9.1
291,387,111,498,33.3,C,EA,Technology Services,199.92,50030726162.15,1058337889.56,50746490000.0,2.09,28.0,10.0,77.5,14.2,30.9,75.1,0.32,0.49,-0.3,-32.2,-0.0,-1.8
292,87,412,499,33.1,C,FITB,Finance,45.06,40635962908.8,3041597622.07,44820051930.0,6.79,1.7,12.2,,23.9,31.0,12.7,0.7,1.11,0.1,12.7,-18.1,-5.0
293,379,121,500,32.9,C,TER,Electronic Technology,301.99,47278330814.88,692803000.0,30476168560.0,2.27,27.2,19.7,57.9,21.7,14.1,86.7,0.1,1.72,13.3,5.0,1.4,50.1
294,329,173,502,32.6,C,FTAI,Electronic Technology,259.91,26659821531.12,766940587.75,23594296439.0,3.25,19.8,241.2,30.9,30.5,-42.3,56.3,10.32,1.42,43.5,,-5.5,43.3
295,302,201,503,32.4,C,SPG,Finance,189.56,62412242690.0,3174995087.76,90285622800.0,3.52,17.6,114.6,59.5,49.9,56.0,33.6,5.6,0.88,6.7,-25.2,-5.0,4.0
296,290,215,505,32.2,C,ATI,Non-Energy Minerals,157.47,21563358469.59,643700000.0,17858130000.0,3.6,16.6,22.1,22.0,14.0,7.3,55.2,1.03,1.88,5.2,11.7,16.7,49.1
297,202,305,507,32.0,C,REGN,Health Technology,774.66,81883623034.29,3702000000.0,77337925000.0,4.79,10.2,14.9,81.6,25.8,28.4,18.6,0.1,0.81,1.0,8.6,-1.1,6.7
298,314,193,507,31.7,C,TMO,Health Technology,495.72,184152168917.72,8396000000.0,249326650000.0,3.37,18.3,13.0,40.3,18.8,14.1,27.9,0.76,0.96,3.9,7.4,-8.4,-14.0
299,185,325,510,31.5,C,DG,Retail Trade,144.84,31882018756.78,1823989112.7,37067220300.0,4.92,9.0,16.4,28.0,4.5,5.8,25.0,2.02,-0.21,4.9,-4.6,-1.5,14.7
300,375,136,511,31.3,C,COST,Retail Trade,992.23,440420543458.04,10518473791.77,442557881600.0,2.38,24.5,29.7,13.6,3.8,3.3,51.6,0.25,0.29,8.4,12.3,-0.9,13.3
301,186,326,512,31.0,C,KMI,Industrial Services,33.08,73596593551.16,4651000000.0,94562250000.0,4.92,9.0,9.9,34.7,27.7,19.2,24.2,1.03,0.41,11.5,16.8,8.5,24.8
302,94,419,513,30.8,C,KEY,Finance,19.65,21411570456.34,2304000000.0,35540506720.0,6.48,1.4,9.5,,20.6,16.8,12.9,0.56,0.02,21.7,,-14.5,-4.1
303,195,320,515,30.6,C,NSC,Transportation,297.56,66823653066.66,3951000000.0,81103744215.28,4.87,9.3,19.2,32.4,32.4,17.7,23.4,1.15,0.79,0.5,10.2,-2.6,1.8
304,299,222,521,30.3,C,EW,Health Technology,85.09,49420270258.12,1630300000.0,46077050000.0,3.54,16.1,10.4,77.9,26.9,22.0,47.1,0.07,0.57,6.0,23.9,8.9,0.9
305,308,213,521,30.1,C,LHX,Electronic Technology,364.26,68035120833.95,2334000000.0,67482136000.0,3.46,16.7,8.2,22.5,10.7,12.3,42.7,0.57,0.45,2.5,8.3,4.2,26.9
306,326,195,521,29.9,C,WST,Health Technology,238.25,17159120604.15,636600000.0,19537578000.0,3.26,18.2,16.9,35.9,20.7,15.3,35.1,0.1,1.04,6.3,1.6,-3.1,-11.4
307,166,358,524,29.7,C,TSN,Consumer Non-Durables,59.81,20639120617.9,1423952440.55,27427200000.0,5.19,7.0,1.1,6.1,2.6,2.0,104.6,0.46,0.49,2.8,-81.1,-8.5,3.2
308,345,179,524,29.4,C,WWD,Producer Manufacturing,385.91,23006359762.05,563875306.69,19078147800.0,2.96,19.4,20.4,27.9,15.8,11.5,48.6,0.35,1.25,14.5,32.8,-2.8,31.9
309,282,244,526,29.2,C,XPO,Transportation,193.9,22714872590.27,730089504.66,19953290000.0,3.66,14.3,18.3,12.0,9.0,4.0,73.3,2.2,1.57,1.1,-18.2,-5.8,28.1
310,116,413,529,29.0,C,PNC,Finance,205.64,82949200095.02,8475749094.02,141605620000.0,5.99,1.6,12.0,,25.0,27.9,12.4,1.0,1.02,0.1,20.8,-14.9,-1.0
311,361,168,529,28.7,C,BSX,Health Technology,69.63,103322945877.05,4070797210.46,152790530000.0,2.66,20.4,12.6,65.0,20.3,18.2,35.9,0.49,0.98,19.9,55.4,-7.9,-25.1
312,271,260,531,28.5,C,VMC,Non-Energy Minerals,266.6,34812730188.17,1612400000.0,42451962000.0,3.8,13.1,13.0,27.4,20.3,14.3,32.9,0.58,0.48,7.1,18.3,-17.2,-10.5
313,292,241,533,28.3,C,CASY,Retail Trade,685.0,25316935026.16,899611789.29,25017390940.5,3.6,14.5,17.9,21.9,5.6,4.1,39.3,0.75,0.37,9.2,21.4,3.3,28.0
314,390,143,533,28.0,C,HEI,Electronic Technology,306.84,36506795521.34,1005153693.64,49457658390.0,2.03,23.2,17.3,42.3,22.4,18.7,60.7,0.56,0.97,16.1,25.1,-6.4,-1.1
315,163,373,536,27.8,C,NLY,Finance,22.46,16163708038.0,6868648102.8,131596731021.28,5.22,5.0,14.1,99.6,102.6,10.3,8.1,7.22,0.57,5.4,75.8,-1.5,-0.1
316,177,359,536,27.6,C,BRO,Finance,68.38,23277923226.39,1695000000.0,33883300000.0,5.0,7.0,11.0,93.8,28.7,23.4,21.4,0.63,0.34,22.8,-7.7,-7.0,-12.4
317,306,231,537,27.4,C,UBER,Transportation,74.97,154296955332.66,6183000000.0,177162158810.0,3.49,15.2,41.4,32.9,11.9,18.8,15.9,0.45,1.6,18.3,3.0,0.3,-10.8
318,110,432,542,27.1,C,PRU,Finance,94.94,33039120422.64,4656000000.0,75716592000.0,6.15,0.6,11.9,,7.7,10.3,9.5,1.02,0.92,-13.7,33.8,-7.0,-17.5
319,209,335,544,26.9,C,BLK,Finance,951.17,155189137180.82,8556000000.0,186216236000.0,4.59,8.4,10.7,78.2,34.3,15.0,27.2,0.27,1.24,19.4,-16.7,-9.0,-12.3
320,347,203,550,26.7,C,WMT,Retail Trade,123.49,984235943470.56,29825000000.0,1017123260000.0,2.93,17.4,23.0,25.4,4.2,2.1,45.2,0.67,0.58,4.7,13.4,-6.0,9.1
321,131,421,552,26.4,C,HBAN,Finance,15.64,31745952030.73,2679279731.04,47142500000.0,5.68,1.3,10.0,,21.7,18.4,11.3,0.78,1.27,3.3,13.9,-18.3,-10.6
322,213,341,554,26.2,C,IFF,Consumer Non-Durables,68.72,17556411921.87,1063000000.0,23412230000.0,4.54,8.0,-2.5,31.0,9.8,2.3,,0.47,0.7,-5.2,-244.4,-8.3,8.2
323,121,434,555,26.0,C,PFG,Finance,88.2,19124860420.2,1416000000.0,24245904000.0,5.84,0.5,10.3,,9.1,28.4,16.7,0.35,0.96,-3.1,-21.0,-8.9,-2.0
324,133,422,555,25.7,C,STT,Finance,126.0,35119755390.99,3761263304.15,66536822060.0,5.65,1.2,11.1,,17.4,19.9,13.4,1.1,1.27,2.0,14.3,-4.5,-2.2
325,176,380,556,25.5,C,OXY,Energy Minerals,55.58,54816696613.08,3580954977.73,70840560000.0,5.05,4.6,6.9,31.9,16.6,19.0,34.3,0.65,0.55,-8.0,-33.9,20.2,35.2
326,399,158,557,25.3,C,HOOD,Finance,78.69,70845263940.75,2001000000.0,115078954659.2,1.74,21.6,22.0,95.0,44.4,-76.0,38.2,1.71,2.97,51.7,31.8,-7.3,-40.3
327,354,204,558,25.1,C,KEYS,Electronic Technology,284.26,48751302803.3,1071780870.18,38004090000.0,2.82,17.3,17.2,62.0,19.9,24.7,51.3,0.45,1.5,13.1,58.6,23.8,33.6
328,322,238,560,24.8,C,AMZN,Retail Trade,212.65,2282780948554.55,84614000000.0,2554002660000.0,3.31,14.7,22.3,50.3,11.8,1.1,29.6,0.41,1.44,12.4,29.9,1.8,-7.8
329,373,187,560,24.6,C,PWR,Industrial Services,567.71,84940436412.08,1680981000.0,70109339160.0,2.4,18.9,12.7,13.3,5.9,5.7,83.6,0.72,1.13,20.3,12.8,11.7,23.4
330,378,182,560,24.4,C,PODD,Health Technology,238.82,16811937555.6,473882501.29,20372188080.0,2.33,19.3,18.1,72.2,17.5,13.9,68.2,0.66,0.52,30.7,-39.5,-1.8,-19.4
331,388,176,564,24.1,C,ADI,Electronic Technology,319.22,155844531591.13,3282268761.7,157479391280.0,2.08,19.6,7.9,56.5,29.8,41.4,58.3,0.26,1.83,25.9,74.6,-0.0,13.4
332,357,208,565,23.9,C,SBUX,Consumer Services,101.44,115570593103.29,3289326139.76,119032852000.0,2.76,16.9,,15.7,8.9,6.3,84.5,,1.21,4.3,-61.2,2.4,20.4
333,211,355,566,23.7,C,ICE,Finance,157.02,89171104956.68,5054000000.0,110819120000.0,4.56,7.1,11.7,68.5,41.3,35.1,27.2,0.7,0.52,10.3,20.7,-6.8,-2.6
334,318,248,566,23.4,C,MTZ,Industrial Services,303.73,23962725960.32,652644000.0,19590371510.0,3.33,14.2,12.9,9.6,4.6,2.0,59.9,0.86,1.37,16.2,146.9,17.1,33.9
335,311,257,568,23.2,C,VEEV,Technology Services,187.09,30754203790.72,946996000.0,27846828120.0,3.4,13.7,13.9,76.5,29.6,,34.5,0.01,1.08,16.3,25.1,1.7,-17.9
336,346,224,570,23.0,C,DHR,Health Technology,195.06,137934613064.61,5252000000.0,177850120000.0,2.95,15.7,7.1,61.4,21.4,21.4,38.6,0.37,1.13,2.9,-4.5,-9.1,-15.3
337,309,262,571,22.8,C,ORCL,Technology Services,163.12,468821715280.32,18523868486.35,537389800000.0,3.45,13.0,58.1,73.7,32.3,-43.1,29.3,3.92,1.24,14.9,30.9,9.9,-14.4
338,206,366,572,22.5,C,CVX,Energy Minerals,191.79,382694970877.72,16387000000.0,350358331440.0,4.68,5.7,7.3,14.7,8.9,9.1,28.8,0.25,0.53,-4.6,-31.5,6.0,27.2
339,336,237,573,22.3,C,RTX,Electronic Technology,207.26,278202527490.39,8887000000.0,284149780000.0,3.13,14.8,10.7,20.1,10.0,9.0,41.8,0.61,0.82,9.7,39.7,4.4,18.6
340,236,338,574,22.1,C,MDLN,Health Technology,42.39,55687467199.07,2256000000.0,53724000000.0,4.2,8.1,8.5,24.0,7.9,4.4,29.3,1.21,3.72,11.5,-3.6,-11.0,11.1
341,366,217,583,21.8,C,SNDK,Electronic Technology,655.43,96742104357.73,1051067308.77,42211440000.0,2.49,16.6,-9.4,34.8,14.3,19.7,,0.08,2.89,23.6,-338.2,10.7,185.0
342,216,368,584,21.6,C,PSX,Energy Minerals,169.5,67926111144.88,3318000000.0,73898039840.0,4.49,5.6,15.6,4.9,2.5,2.1,15.6,0.74,1.12,-7.6,119.7,6.6,19.4
343,294,290,584,21.4,C,BURL,Retail Trade,303.88,19122259748.36,850817073.56,23748776540.0,3.58,11.1,38.4,40.3,7.4,1.5,31.9,3.32,0.59,8.8,22.2,-2.6,12.0
344,401,183,584,21.1,C,MPWR,Electronic Technology,1071.09,52609795976.31,728636000.0,43331466480.0,1.68,19.2,18.4,55.2,26.1,23.9,84.1,0.01,1.89,26.4,-65.3,-11.9,10.7
345,221,369,590,20.9,C,GFS,Electronic Technology,44.09,24509121340.21,797000000.0,18267200000.0,4.36,5.5,7.8,24.9,11.7,14.9,27.8,0.14,1.3,0.6,,2.7,10.0
346,278,312,590,20.7,C,PSA,Finance,299.91,53703218289.0,2239925000.0,60014902500.0,3.73,9.7,18.8,48.8,46.4,60.1,33.3,1.11,0.26,2.7,-15.3,4.5,11.2
