MF Rank,EY Rank,ROC Rank,Combined Rank,MF Score,Grade,Ticker,Sector,Price,Market Cap,EBIT,EV,Earnings Yield %,ROC % (Greenblatt),ROE %,Gross Margin %,Op Margin %,FCF Margin %,P/E,D/E,Beta,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %
362,406,221,627,17.0,D,ISRG,Health Technology,492.87,175033048035.47,2945500000.0,198469844000.0,1.48,16.1,16.7,66.0,29.3,24.7,62.6,0.01,1.2,20.5,22.8,1.4,-9.6
363,267,362,629,16.8,D,SMCI,Electronic Technology,31.79,19041874875.0,807963082.17,21148427030.0,3.82,6.4,13.2,8.0,3.7,2.0,23.6,0.71,2.22,35.1,-41.2,-4.3,-6.9
364,409,227,636,16.6,D,NOW,Technology Services,115.63,120948980632.64,1947000000.0,156502930000.0,1.24,15.5,15.5,77.5,14.7,34.5,69.3,0.19,1.22,20.9,22.0,15.6,-32.2
365,343,294,637,16.3,D,EL,Consumer Non-Durables,91.54,33112492066.84,1335390824.19,44509856000.0,3.0,10.9,-4.3,74.3,9.3,8.0,,2.33,1.62,-3.0,74.3,-7.8,-14.4
366,275,363,638,16.1,D,HPE,Electronic Technology,21.43,28476366062.58,1728426346.64,45927120000.0,3.76,6.3,-0.5,29.9,5.0,6.3,,0.87,1.53,15.0,-109.3,-8.5,-13.3
367,276,365,641,15.9,D,AMT,Finance,182.85,86747702254.0,4967100000.0,132303579530.0,3.75,5.8,71.9,55.0,46.7,35.5,33.9,12.31,-0.19,-1.5,12.1,6.9,0.7
368,328,313,641,15.6,D,MLM,Non-Energy Minerals,597.59,36041874296.49,1418146393.64,43612930000.0,3.25,9.7,10.7,29.9,23.1,15.9,31.8,0.6,0.54,0.1,-41.9,-13.2,-4.0
369,349,292,641,15.4,D,NKE,Consumer Non-Durables,55.7,82457369516.56,2857960614.2,98654030000.0,2.9,11.0,18.0,40.7,6.2,5.3,32.7,0.8,1.3,-5.1,-47.3,-12.4,-15.4
370,405,245,650,15.2,D,TOST,Technology Services,28.7,16904299776.56,304000000.0,19583570000.0,1.55,14.3,18.6,25.8,4.9,9.9,52.6,0.01,1.05,24.1,,4.6,-18.7
371,255,396,651,14.9,D,JPM,Finance,287.52,775450805483.27,72754215628.05,1833212910000.0,3.97,2.9,16.1,,26.1,36.1,14.4,2.7,0.02,0.4,1.3,-10.5,-7.0
372,352,299,651,14.7,D,GLW,Electronic Technology,131.76,113043245319.98,2395000000.0,84353080000.0,2.84,10.5,14.2,35.3,15.3,9.0,71.7,0.79,1.16,19.1,215.0,6.3,40.7
373,297,356,653,14.5,D,RGLD,Non-Energy Minerals,275.84,23394019392.14,664674645.02,18681371160.35,3.56,7.1,9.1,69.3,64.5,-44.6,40.4,0.13,0.35,43.2,35.2,2.9,31.4
374,417,236,653,14.3,D,RDDT,Technology Services,137.12,26194829421.46,441984000.0,44194458616.58,1.0,14.9,20.9,90.5,20.1,31.1,51.5,0.01,2.23,69.4,,-1.6,-41.8
375,384,279,663,14.0,D,FLUT,Consumer Services,109.59,19211343049.15,1024000000.01,47524040077.61,2.15,11.8,-3.4,45.2,6.3,6.8,,1.42,1.28,16.6,-920.7,-28.1,-49.2
376,320,346,666,13.8,D,ON,Electronic Technology,59.24,23341776750.23,747600000.0,22507345000.0,3.32,7.8,1.5,32.3,12.5,23.7,177.5,0.42,1.66,-15.3,-90.8,-8.6,7.7
377,420,249,669,13.6,D,ALNY,Health Technology,320.43,42496432890.15,501578000.0,54252453650.0,0.92,14.1,73.3,81.6,13.5,12.5,142.0,3.76,1.1,65.2,,-1.6,-20.6
378,279,397,676,13.3,D,WPC,Finance,71.48,15837194766.0,854636000.0,23066039783.36,3.71,2.9,5.6,59.0,49.8,63.6,33.9,1.11,0.14,8.4,0.9,0.4,7.9
379,367,309,676,13.1,D,GE,Electronic Technology,325.15,341021730121.22,8348817930.04,335897800000.0,2.49,9.8,45.2,36.6,18.2,15.8,40.0,1.15,1.46,0.1,36.3,1.3,15.3
380,310,379,689,12.9,D,CG,Finance,47.08,17003933350.3,1174239078.06,34081329000.0,3.45,4.8,14.2,70.1,24.5,28.5,21.5,2.41,1.85,-9.7,-21.5,-20.6,-21.7
381,284,411,695,12.6,D,WFC,Finance,76.88,237223685105.32,25669518351.02,703649800000.0,3.65,1.7,11.8,,20.7,-11.7,12.3,2.37,1.34,-1.4,16.5,-18.0,-15.1
382,395,302,697,12.4,D,BWXT,Electronic Technology,195.98,17921407822.97,323241000.0,17469522659.28,1.85,10.4,28.4,22.9,10.1,9.2,54.7,1.67,1.22,18.3,16.7,-0.8,9.5
383,425,272,697,12.2,D,ALAB,Electronic Technology,124.71,21227450008.06,173423000.0,28983429160.0,0.6,12.4,18.8,75.7,20.3,33.1,102.3,0.02,2.09,115.1,,-26.5,-22.8
384,419,283,702,12.0,D,PANW,Technology Services,164.93,134582881488.14,1170898315.02,121657670000.0,0.96,11.6,16.3,73.5,12.7,38.7,91.3,0.04,1.23,15.4,2.1,3.2,-13.8
385,325,388,713,11.7,D,BG,Process Industries,122.72,23747434172.57,1060000000.0,32508600000.0,3.26,4.0,6.3,4.5,1.5,-1.3,22.6,1.0,0.41,32.4,-32.8,5.7,34.2
386,317,398,715,11.5,D,ARES,Finance,103.46,22854583386.31,1816737000.0,54496351861.51,3.33,2.9,12.4,78.5,28.1,23.9,59.2,3.35,1.73,53.3,-13.4,-22.1,-41.9
387,330,385,715,11.3,D,AJG,Finance,209.84,53949865591.74,2555936665.28,79452167820.0,3.22,4.3,6.9,90.8,18.3,12.8,36.5,0.58,0.53,21.9,-11.9,-12.6,-13.3
388,380,336,716,11.0,D,FWONA,Technology Services,76.1,29782940259.14,615000000.0,27149391861.44,2.27,8.3,10.4,24.9,13.7,16.8,25.8,0.66,0.57,23.9,,-2.0,-10.7
389,412,307,719,10.8,D,MTSI,Electronic Technology,222.55,16693913761.78,147277460.13,13222402280.0,1.11,10.1,12.9,53.6,15.2,13.7,104.6,0.42,0.94,29.1,,-5.9,21.3
390,422,298,720,10.6,D,DASH,Transportation,169.48,73626574948.07,841000000.0,97820441520.0,0.86,10.5,10.5,45.4,6.1,13.3,79.7,0.33,1.53,27.9,702.5,-6.5,-22.8
391,331,393,724,10.3,D,LUV,Transportation,41.85,20561657867.04,781000000.0,24282930000.0,3.22,3.2,4.8,18.7,2.8,-3.0,48.5,0.75,1.61,2.1,21.5,-22.2,4.8
392,381,343,724,10.1,D,CBRE,Finance,132.49,39105557787.26,1293968089.57,57124922360.48,2.27,7.9,13.4,16.9,3.2,2.9,34.4,1.15,0.93,13.4,22.4,-21.6,-16.0
393,362,364,726,9.9,D,EQR,Finance,60.16,23211594836.0,885053302.62,33619719920.0,2.63,6.0,10.1,30.5,28.9,42.5,20.6,0.8,0.62,4.9,9.4,-6.2,-1.2
394,414,314,728,9.7,D,GEV,Producer Manufacturing,847.65,228466667028.97,1855951238.74,172078180000.0,1.08,9.7,47.1,20.3,4.9,9.7,47.7,0.11,0.34,8.9,216.2,9.2,19.2
395,339,392,731,9.4,D,INVH,Finance,25.21,15691690720.0,771503000.0,25147187470.67,3.07,3.3,6.1,32.8,28.0,34.6,41.9,0.88,0.22,2.4,76.9,-4.1,-5.3
396,359,372,731,9.2,D,AVB,Finance,171.82,24437560142.0,941503664.83,34896773792.41,2.7,5.4,8.9,32.5,30.5,45.7,23.3,0.82,0.59,1.8,-2.7,-0.5,-3.1
397,364,367,731,9.0,D,ESS,Finance,250.22,16395476914.0,620071000.0,23870802383.36,2.6,5.7,12.1,36.4,32.9,59.3,24.1,1.25,0.64,6.4,-9.9,-2.6,-2.5
398,416,317,733,8.7,D,CIEN,Electronic Technology,339.95,48068391553.7,390735926.12,37002583190.0,1.06,9.5,8.2,39.5,8.2,15.6,215.9,0.57,1.67,26.5,191.7,25.6,43.8
399,398,342,740,8.5,D,COHR,Electronic Technology,251.41,47134816392.87,685260571.57,38573482490.0,1.78,7.9,3.6,37.2,11.8,-1.8,248.8,0.42,2.11,18.6,,10.8,30.5
400,415,331,746,8.3,D,AMD,Electronic Technology,204.83,333957055306.03,3695000000.0,347796510000.0,1.06,8.7,7.1,46.0,10.7,19.4,77.4,0.06,1.47,34.3,163.6,-1.0,-6.0
401,338,414,752,8.0,D,O,Finance,64.71,60496716677.0,2567740000.0,83137272760.0,3.09,1.6,2.7,48.7,44.6,67.1,55.6,0.78,0.16,8.6,19.0,2.4,13.6
402,351,402,753,7.8,D,MS,Finance,160.89,255470832323.13,21788728007.82,759253580000.0,2.87,2.7,15.6,,18.2,38.5,15.8,4.22,1.53,15.6,28.4,-10.6,-10.7
403,337,417,754,7.6,D,BAC,Finance,48.52,348212626741.73,35097849211.87,1132182500000.0,3.1,1.5,10.2,,18.1,22.4,12.7,2.37,1.38,-1.8,18.9,-14.0,-10.1
404,372,382,754,7.4,D,TPG,Finance,40.68,15628177808.53,688131294.52,28691084110.08,2.4,4.5,13.1,96.9,14.7,-3.5,91.2,2.04,1.57,33.6,,-28.0,-40.1
405,363,395,758,7.1,D,KKR,Finance,87.13,77680829415.3,5597348068.42,212712153892.0,2.63,3.0,8.7,39.5,27.2,46.3,37.4,1.77,1.71,-13.4,-28.8,-15.6,-38.4
406,404,354,758,6.9,D,COIN,Finance,198.63,52453195599.33,898823922.6,56567823380.0,1.59,7.1,10.1,79.6,12.5,33.8,45.2,0.53,2.37,-0.8,-53.7,24.1,-25.6
407,334,426,760,6.7,D,IRM,Finance,107.59,31882159058.0,1388833000.0,43982115000.0,3.16,0.9,,40.5,20.1,-13.5,222.2,,0.92,12.2,-20.2,12.5,25.5
408,385,383,768,6.4,D,SOFI,Finance,18.53,23630641546.16,668057000.0,31805863800.0,2.1,4.3,5.7,61.1,14.0,26.7,48.8,0.18,2.03,26.6,-0.5,-13.0,-31.0
409,413,360,773,6.2,D,SNPS,Technology Services,432.98,82942525271.01,1056233872.72,97386805630.0,1.08,6.4,5.5,68.0,15.0,32.3,66.9,0.36,1.26,31.9,-52.2,1.2,-9.2
410,386,390,776,6.0,D,PLD,Finance,134.4,129531329063.0,3414302000.0,162897982540.0,2.1,3.8,6.2,44.7,38.8,46.9,37.8,0.7,0.77,7.2,-9.7,-1.4,3.3
411,376,401,777,5.7,D,ADM,Process Industries,70.83,34083526258.2,754990601.97,32340160000.0,2.33,2.7,4.8,5.4,0.9,5.2,31.8,0.43,0.67,-6.0,-38.3,6.8,21.2
412,377,400,777,5.5,D,GS,Finance,823.76,244453192643.38,22077845367.85,947296100000.0,2.33,2.9,13.9,,17.5,18.3,16.1,5.31,1.4,-0.2,26.5,-11.3,-7.4
413,389,391,780,5.3,D,EXR,Finance,141.52,30969671126.0,901023000.0,43668322972.54,2.06,3.7,7.1,34.3,26.7,49.9,31.2,1.05,0.45,3.7,12.4,0.7,8.1
414,410,371,781,5.1,D,CPNG,Retail Trade,18.77,34315158039.7,498000000.0,41298340000.0,1.21,5.5,4.8,29.4,1.4,1.5,167.4,1.0,1.36,14.1,35.2,5.9,-27.8
415,391,405,796,4.8,D,WY,Finance,23.23,17425679389.0,451000000.0,22353223770.0,2.02,2.2,3.4,14.8,6.5,-5.5,51.9,0.61,0.61,-3.1,-17.6,-12.8,-0.5
416,421,376,797,4.6,D,TWLO,Technology Services,126.68,19193794712.4,175167000.0,20279640891.04,0.86,4.9,0.4,48.0,3.5,18.7,642.7,0.14,1.33,13.7,,10.2,-5.7
417,397,403,800,4.4,D,AFRM,Finance,50.79,16918690708.98,577306507.68,32461088665.66,1.78,2.5,8.9,76.6,19.4,20.8,62.5,2.55,2.49,32.8,,-10.9,-27.5
418,408,394,802,4.1,D,DLR,Finance,180.59,62146290135.0,987303576.96,75005302700.0,1.32,3.2,5.9,25.3,16.2,-12.6,50.2,0.93,0.59,11.4,121.2,5.9,12.9
419,426,378,804,3.9,D,PSTG,Electronic Technology,62.09,20500358762.65,114816000.0,22734809960.0,0.51,4.8,13.7,70.4,3.1,16.8,113.9,0.15,1.97,15.6,78.2,-13.0,-15.1
420,382,424,806,3.7,D,C,Finance,109.19,191008140444.65,19974468048.98,904426061000.0,2.21,1.1,6.7,,11.8,13.2,15.7,3.39,1.58,-0.0,17.3,-10.6,-1.9
421,424,386,810,3.4,D,MCHP,Electronic Technology,65.79,35601301399.0,279151879.97,39913160000.0,0.7,4.2,-1.1,40.7,6.3,18.6,,0.82,2.31,-8.1,-150.8,-11.5,-3.0
422,407,404,811,3.2,D,WBD,Consumer Services,27.81,68966838388.19,1546000000.0,104907420000.0,1.47,2.5,2.1,28.8,4.1,8.3,96.8,1.02,1.55,-5.0,,1.7,-5.5
423,432,381,813,3.0,D,TSLA,Consumer Durables,407.82,1530316715095.71,4849000000.0,1562558080000.0,0.31,4.6,4.9,18.0,5.1,6.6,379.0,0.18,1.49,-2.9,-47.2,-0.5,-9.2
424,402,416,818,2.8,D,GM,Consumer Durables,74.79,67607759180.11,2909000000.0,178267000000.0,1.63,1.6,4.3,6.3,1.6,1.0,24.8,2.15,0.79,-1.3,-51.0,-9.1,-6.9
425,396,425,821,2.5,D,VTR,Finance,85.81,41866318164.0,923291670.28,50133087940.0,1.84,1.1,2.2,19.4,15.8,22.6,158.3,1.06,0.18,18.5,184.8,2.9,10.4
426,434,387,821,2.3,D,EQIX,Finance,973.43,93938590296.0,137000000.0,94599288480.0,0.14,4.1,9.8,31.5,1.5,-4.3,70.7,1.61,0.39,5.4,61.0,15.0,32.0
427,427,399,826,2.1,D,BE,Electronic Technology,159.21,44666081751.6,110577000.0,23469635240.0,0.47,2.9,-13.3,30.9,5.5,2.8,,3.9,2.61,37.3,-61.7,9.8,59.2
428,430,410,840,1.8,D,WELL,Finance,205.33,144937150659.0,465299000.0,145237512020.0,0.32,1.7,2.5,20.9,4.3,19.5,,0.51,0.24,35.6,-186.2,4.6,7.9
429,433,409,842,1.6,D,KTOS,Electronic Technology,88.92,16606497732.63,27700000.0,13042840000.0,0.21,1.8,1.3,22.1,2.1,-10.2,675.7,0.07,1.72,18.5,23.5,-6.0,15.9
430,411,435,846,1.4,D,COF,Finance,182.02,113203983126.98,2274315871.53,197643576000.0,1.15,0.4,2.3,,3.3,37.8,61.7,0.46,0.21,29.8,-74.6,-17.8,-23.4
431,418,428,846,1.1,D,DOW,Process Industries,34.37,24661645116.46,324000000.0,33566516000.0,0.97,0.8,-15.8,6.2,0.8,-3.6,,1.22,1.28,-7.0,-335.6,9.1,40.1
432,423,429,852,0.9,D,F,Consumer Durables,12.11,48312545790.99,1334000000.0,182501080000.0,0.73,0.8,-20.3,6.5,0.7,6.7,,4.61,0.76,1.2,-231.1,-11.9,-9.5
433,428,430,858,0.7,D,ALB,Process Industries,168.0,19798332393.27,89076000.0,20834041440.0,0.43,0.7,-5.2,13.1,1.7,13.5,,0.35,1.77,-4.4,48.6,3.4,26.1
434,429,433,862,0.5,D,IP,Process Industries,38.66,20469287910.91,124359495.5,32317920000.0,0.38,0.5,-24.5,18.6,0.5,-0.7,,0.85,1.07,33.7,-525.9,-16.4,-1.4
435,436,431,867,0.2,D,LITE,Producer Manufacturing,672.0,47980801025.0,9689340.68,36477006000.0,0.03,0.7,29.3,30.6,0.6,-1.8,205.5,3.92,2.11,48.9,,20.7,84.0
436,435,436,871,0.0,D,INTC,Electronic Technology,47.98,239660093746.6,247000000.0,197426200000.0,0.13,0.2,-0.3,35.2,0.5,-9.4,,0.41,1.18,-0.5,98.1,-3.2,19.7
,,,,0.0,N/A,BA,Electronic Technology,214.1,168142811353.13,-5325000000.0,201495056000.0,,4.3,289.0,4.8,-6.0,-2.1,112.9,10.33,1.57,34.5,,-11.5,7.7
,,,,0.0,N/A,IBKR,Finance,68.39,115999775917.48,8994000000.0,-12982767186.91,,20.0,20.4,95.1,86.2,232.4,30.9,4.65,1.81,11.0,28.0,-8.5,3.4
,,,,0.0,N/A,CRWD,Technology Services,442.03,111435067550.14,-182212000.0,109575363865.0,,,-4.8,74.5,-3.8,25.8,,0.19,1.22,21.7,-781.8,11.6,-14.4
,,,,0.0,N/A,DELL,Electronic Technology,147.37,97660570511.77,8797959752.08,,,36.5,,22.1,7.7,7.5,16.9,,1.99,19.1,40.2,22.5,6.2
,,,,0.0,N/A,NET,Technology Services,213.0,74971802119.95,-201085000.0,68624514050.0,,,-8.2,74.5,-9.3,12.0,,2.41,1.66,29.8,-27.3,23.0,0.9
,,,,0.0,N/A,SNOW,Technology Services,179.43,61400950754.92,-1320591000.0,64671674500.0,,,-54.1,66.3,-28.2,23.9,,1.42,1.22,29.2,-2.3,6.5,-16.5
,,,,0.0,N/A,MSTR,Technology Services,138.33,46167979653.45,-40908914.28,57536764100.0,,,-11.1,68.7,-8.6,-23.6,,0.16,0.32,3.0,-226.4,8.6,-23.1
,,,,0.0,N/A,DDOG,Technology Services,127.49,44976534938.2,-44373000.0,46510689840.0,,2.4,3.3,79.9,-1.3,29.2,430.4,0.34,1.12,27.7,-42.3,10.8,-15.1
,,,,0.0,N/A,CRWV,Technology Services,81.96,43085400432.68,-45410150.39,61790220000.0,,,-50.3,47.8,-0.9,-141.3,,8.94,0.9,167.9,-22.6,-9.0,-1.3
,,,,0.0,N/A,RBLX,Technology Services,60.39,42798730044.57,-1232342000.0,55835328010.0,,,-345.8,23.8,-25.2,27.7,,4.57,1.31,35.8,-6.6,-12.2,-35.9
,,,,0.0,N/A,RKT,Finance,15.15,42720202826.18,800539502.52,86157171081.44,0.93,,-0.6,95.8,11.6,-58.4,,1.48,0.02,47.5,-176.8,-19.8,-21.9
,,,,0.0,N/A,AXON,Electronic Technology,517.57,41611422121.57,-59076000.0,47198513740.0,,3.1,4.5,59.7,-2.1,2.7,339.4,0.59,1.22,33.4,-68.1,23.8,-8.2
,,,,0.0,N/A,RKLB,Electronic Technology,71.96,40833373652.36,-228838000.0,39187399514.24,,,-18.8,31.7,-38.0,-53.5,,0.15,2.04,38.0,2.0,-0.1,25.1
,,,,0.0,N/A,TTWO,Technology Services,211.09,39088685144.83,-251571319.24,48504650000.0,,,-86.2,52.9,-4.5,8.7,,1.0,0.77,20.3,-4.9,6.9,-13.5
,,,,0.0,N/A,CCI,Finance,87.56,38600953404.0,2085510902.7,68133190000.0,3.06,,,58.1,48.9,67.4,18.9,,-0.14,-35.1,,8.0,-4.1
,,,,0.0,N/A,ASTS,Communications,88.21,33698635948.25,-287713000.0,21091661709.5,,,-29.5,-144.0,-405.7,-1602.2,,1.22,1.55,1505.2,32.4,-12.2,12.6
,,,,0.0,N/A,SATS,Communications,112.18,32406093809.37,-91135000.0,59288300873.5,,,-111.7,15.7,-0.6,-7.1,,5.38,1.05,-5.2,-9888.7,-1.2,5.7
,,,,0.0,N/A,SYM,Producer Manufacturing,51.01,30716783739.92,-46025815.28,5922550101.62,,,-2.5,18.9,-2.0,34.7,,0.05,2.8,24.0,13.8,-13.8,-14.4
,,,,0.0,N/A,INSM,Health Technology,139.4,30047935457.91,-994776000.0,36507321480.0,,,-249.3,78.7,-164.0,-164.5,,1.02,0.58,66.7,-14.6,-6.3,-26.7
,,,,0.0,N/A,SUNB,Finance,71.22,29482521777.6,,,,,,,,,,,1.0,,,-2.4,-2.4
,,,,0.0,N/A,NTRA,Health Technology,196.61,27865780035.23,-306010265.39,31140506370.0,,,-14.3,64.7,-13.3,4.7,,0.13,0.79,35.9,-0.5,-5.2,-14.5
,,,,0.0,N/A,CRCL,Technology Services,112.81,26527513455.43,-87732000.0,17737481700.0,,,-2.8,5.9,-3.2,19.3,,0.02,-0.03,63.9,-327.6,100.3,31.4
,,,,0.0,N/A,NTRS,Finance,140.9,26183134702.98,2331210648.71,-15702784620.0,,1.7,13.4,,16.3,38.1,16.1,1.32,1.15,-7.4,-10.5,-7.1,2.3
,,,,0.0,N/A,ZS,Technology Services,153.81,24731219270.98,-121378139.88,30289833830.0,,,-3.6,76.3,-4.5,32.7,,0.85,1.25,23.9,-313.5,-8.4,-36.2
,,,,0.0,N/A,MRNA,Health Technology,55.97,22104759299.12,-3074000000.0,7065080000.0,,,-28.9,44.3,-158.1,-106.2,,0.15,1.64,-39.9,21.8,36.3,93.5
,,,,0.0,N/A,MDB,Technology Services,270.57,22022166721.53,-137277000.0,29749956854.99,,,-2.5,71.3,-5.6,20.3,,0.01,1.46,22.8,50.3,-21.8,-36.1
,,,,0.0,N/A,RIVN,Consumer Durables,16.65,20662480822.31,-3585000000.0,23443430000.0,,,-65.6,-2.8,-66.5,-46.2,,1.14,0.8,8.4,35.1,12.3,-4.4
,,,,0.0,N/A,TEAM,Technology Services,75.45,19970046592.68,-103640975.56,42426097054.62,,,-13.5,83.8,-2.0,25.5,,0.76,1.41,20.1,45.9,-19.3,-53.5
,,,,0.0,N/A,EXAS,Health Technology,103.4,19737841863.58,-155680000.0,20839879280.0,,,-8.7,69.7,-4.8,11.0,,1.06,0.25,17.7,80.1,0.3,2.1
,,,,0.0,N/A,RVMD,Health Technology,99.59,19736087595.39,,14066225419.9,,,-58.1,,,,,0.26,1.33,,-65.8,2.4,27.2
,,,,0.0,N/A,CSGP,Technology Services,45.34,19033429176.17,-51698407.81,27661904000.0,,0.1,0.1,75.2,-1.6,10.7,2667.1,0.14,0.76,18.7,-95.0,-8.7,-33.1
,,,,0.0,N/A,IOT,Technology Services,32.08,18510290267.23,-52576000.0,15715636380.55,,,-0.7,76.7,-3.2,12.8,,0.05,1.09,29.6,93.7,27.6,-28.5
,,,,0.0,N/A,CNC,Health Services,35.86,17634908658.98,-286000000.0,38491582950.0,,,-28.8,,-0.1,2.2,,0.91,0.14,19.4,-318.1,-6.7,-6.8
,,,,0.0,N/A,SUI,Finance,136.31,16833179122.0,131100000.0,19260748000.0,0.68,,-1.0,15.9,5.6,37.2,12.7,0.62,0.26,-28.3,1337.7,8.8,11.0
