ticker,company,sector,price,mktcap_bn,score,tier,accruals,cash_conv,fcf_conv,gross_margin,net_margin,roa,de
MU,"Micron Technology, Inc.",Electronic Technology,975.56,1101.790697106,100.0,Excellent,-31.98,6.02,3.06,72.6000841881383,55.90646254735581,47.4982236046473,0.0633016957229657
PLTR,Palantir Technologies Inc.,Technology Services,129.3,309.972486292,100.0,Excellent,-10.77,1.68,1.65,84.0739416413006,43.6725308153978,26.942790843228405,0.0250870360155192
WDC,Western Digital Corporation,Electronic Technology,539.0,185.78366748000002,100.0,Excellent,-10.22,1.88,1.66,45.402054852679,54.1648976819224,40.6137586349601,0.17809917355371901
QCOM,QUALCOMM Incorporated,Electronic Technology,176.25,185.7675,100.0,Excellent,-15.3,2.58,2.26,54.801510587600596,22.3058939891202,17.6396345148789,0.5597917735904391
DDOG,"Datadog, Inc.",Technology Services,260.36,92.677791589,100.0,Excellent,-14.46,10.33,9.85,79.8570055644955,3.69476728273808,2.09333261227306,0.322211752505252
CIEN,Ciena Corporation,Electronic Technology,422.46,59.800444309,100.0,Excellent,-15.06,8.37,6.75,40.4879021035526,7.87014176310568,7.493066605463891,0.546492752119908
TEL,TE Connectivity plc,Electronic Technology,197.44,57.631910029,100.0,Excellent,-10.04,2.4,1.84,36.617458279846,15.5541292255028,11.7887909192257,0.427308447937132
AU,AngloGold Ashanti PLC,Non-Energy Minerals,84.65,42.748883682,100.0,Excellent,-19.81,2.18,1.52,56.036181264534704,31.1123052122664,23.879571074916,0.267838312829526
ON,ON Semiconductor Corporation,Electronic Technology,91.22,35.501511629,100.0,Excellent,-10.62,11.54,9.76,36.6600692726373,9.46231238660729,4.54151444505575,0.444526617089171
DXCM,"DexCom, Inc.",Health Technology,71.25,27.493448067000003,100.0,Excellent,-14.26,2.13,1.71,62.6372485937857,19.3113182091783,13.9021292491595,0.468328316818289
TSEM,Tower Semiconductor Ltd.,Electronic Technology,219.05,24.480288459,100.0,Excellent,-16.62,3.79,1.45,24.7682948262948,15.131061659570399,7.20669386017696,0.05240442486802731
P,"Everpure, Inc.",Electronic Technology,72.71,24.169162719,100.0,Excellent,-12.34,4.11,2.73,70.2299623036766,5.7464923522841,5.28611573970668,0.160151802393391
ALAB,"Astera Labs, Inc.",Electronic Technology,406.42,69.663618791,99.9,Excellent,-9.9,1.75,1.56,75.9893713477738,26.7239106729882,19.2473036694117,0.0280130232109819
RDDT,"Reddit, Inc.",Technology Services,194.67,37.475733531,99.9,Excellent,-9.93,1.65,1.64,90.718261482659,28.6043251092759,23.8982373317242,0.006694937535301901
INTU,Intuit Inc.,Technology Services,275.35,75.318411124,99.8,Excellent,-10.22,2.04,1.99,77.6391875746714,21.9068100358423,12.0753921736496,0.334480585583402
TWLO,Twilio Inc.,Technology Services,209.31,31.767787259,99.7,Excellent,-9.73,28.53,26.58,47.9094865310212,1.96081833929876,1.07218000445556,0.137219870700265
VRT,"Vertiv Holdings, LLC",Electronic Technology,300.53,115.43622491399998,99.1,Excellent,-9.29,1.93,1.71,34.9964033421252,14.3718759798587,13.639546282033303,0.769134726377535
SPOT,Spotify Technology S.A.,Technology Services,485.97,100.02843718300001,99.0,Excellent,-9.21,1.56,1.53,32.2094255660807,15.564870653475598,21.9426220962138,0.059425717852684204
JBHT,"J.B. Hunt Transport Services, Inc.",Transportation,285.83,26.953539632,98.8,Excellent,-12.97,2.72,1.72,10.5479679533747,5.12680074780404,7.68673932562237,0.36246751158343204
TSLA,"Tesla, Inc.",Consumer Durables,393.45,1477.689509176,98.6,Excellent,-8.86,4.36,1.85,19.0653766385026,3.94568804340052,2.87313779827775,0.18890579675685998
ANET,"Arista Networks, Inc.",Electronic Technology,159.99,201.459836766,98.6,Excellent,-8.83,1.54,1.5,63.53721459541289,38.3165635073482,20.5716718595785,0.0
NEM,Newmont Corporation,Non-Energy Minerals,97.04,103.595318321,98.4,Excellent,-8.68,1.71,1.3,55.11901347863489,34.6429595640952,14.9413812296248,0.15839202886102
RPRX,Royalty Pharma plc,Health Technology,57.77,33.26871547100001,98.3,Excellent,-9.85,3.53,3.53,,33.8894552499209,4.42010619428543,1.3001935386654901
ROST,"Ross Stores, Inc.",Retail Trade,213.43,68.464300758,98.1,Excellent,-8.41,1.61,1.23,28.093737466386397,9.73987536372715,15.5111987640119,0.7491114595821761
EXE,Expand Energy Corporation,Energy Minerals,90.72,21.702841684,98.1,Excellent,-13.72,3.23,1.53,50.2443565278101,25.032968737879095,11.2331389783309,0.258825335106927
VEEV,Veeva Systems Inc.,Technology Services,192.74,31.309322213999994,97.9,Excellent,-8.28,1.83,1.8,74.792059329673,28.369711401728605,11.1473494396298,0.014110351168631801
FTNT,"Fortinet, Inc.",Technology Services,156.25,114.476308823,97.8,Excellent,-9.62,1.51,1.31,80.3038188339546,27.4913847668612,19.2651733569897,0.501970294028493
FIX,"Comfort Systems USA, Inc.",Industrial Services,1741.3,61.29798769799999,97.7,Excellent,-9.18,1.62,1.35,24.5097248958063,12.0726597022974,21.2668293654504,0.13447763590532
EA,Electronic Arts Inc.,Technology Services,205.21,51.456712915,97.7,Excellent,-12.69,2.88,2.62,78.3309124521326,11.7126634094811,6.95713557394408,0.274098166765228
HSY,The Hershey Company,Consumer Non-Durables,182.14,36.945939628,97.7,Excellent,-10.59,2.66,2.1,35.5598180818065,9.1246054230542,7.869098186249179,1.2001120441552
ATI,ATI Inc.,Non-Energy Minerals,188.1,25.670088427999996,97.7,Excellent,-8.23,2.07,1.37,22.6988790945696,9.26107302209163,8.16847601769996,1.03242022027676
NTES,"NetEase, Inc.",Technology Services,127.24,83.57693524311559,97.6,Excellent,-7.98,1.57,1.54,65.7198958562097,29.865695742228905,15.735763368432497,0.0665086968808829
ADM,Archer-Daniels-Midland Company,Process Industries,76.79,37.00944337600001,97.6,Excellent,-8.75,5.51,4.45,6.62368257904526,1.34035957842529,1.98348623853211,0.467330292931065
OXY,Occidental Petroleum Corporation,Energy Minerals,48.91,48.64758325000001,97.5,Excellent,-9.16,4.22,1.57,32.1358893884129,7.1252862838239,2.03105826598401,0.42666700914414907
WDAY,"Workday, Inc.",Technology Services,135.4,33.443798492,97.3,Excellent,-15.44,4.59,4.29,75.7637267837207,8.59636658885619,5.08662883223734,0.569355080053868
ROKU,"Roku, Inc.",Technology Services,142.43,21.128373867999997,97.1,Excellent,-7.57,4.73,4.65,44.19159320248,4.05787341268419,4.7229255454551,0.18760950692308398
ABNB,"Airbnb, Inc.",Consumer Services,148.93,89.760835791,96.9,Excellent,-7.66,1.82,1.81,72.380427942102,19.8001887979862,9.70241307532187,0.33184913567312696
ACN,Accenture plc,Technology Services,137.35,84.050256482,96.8,Excellent,-8.0,1.72,1.64,31.729085105258005,10.6562087490533,11.7875995483314,0.263048639525557
ADSK,"Autodesk, Inc.",Technology Services,207.48,43.778279099,96.7,Excellent,-13.89,2.47,2.43,85.676286740258,19.4573746508844,12.994626282364402,0.854186265286924
TKO,"TKO Group Holdings, Inc.",Consumer Services,194.42,37.158772807,96.6,Excellent,-10.12,9.3,8.69,48.6858677282294,4.47039012866696,1.45874993458549,1.47066080720103
NOW,"ServiceNow, Inc.",Technology Services,106.32,109.64866448000002,96.4,Excellent,-15.13,3.11,2.65,76.5616045845272,12.5859598853868,7.748109276122859,0.207281718963165
DASH,"DoorDash, Inc.",Transportation,192.01,83.662355064,96.4,Excellent,-7.38,2.56,1.87,45.0173221927858,6.290333537123841,5.56440224739357,0.322318101588547
AMD,"Advanced Micro Devices, Inc.",Electronic Technology,517.82,844.357607353,96.1,Excellent,-6.77,2.24,1.98,47.0870935013617,13.168152934266,6.524154717180801,0.06005088269057741
FICO,Fair Isaac Corporation,Commercial Services,1270.83,29.47169872,96.1,Excellent,-12.47,1.39,1.31,84.1649666061117,33.6746753482797,39.1160457692864,
OKTA,"Okta, Inc.",Technology Services,141.42,24.579836435,96.1,Excellent,-7.33,3.91,3.88,77.4365821094793,8.24432576769025,2.64001710132535,0.059573851282794604
ADBE,Adobe Inc.,Technology Services,219.72,87.338700485,95.9,Excellent,-11.2,1.47,1.44,88.8165727438686,28.6887848241924,24.9104066161268,0.613387740927244
STRL,"Sterling Infrastructure, Inc.",Industrial Services,700.75,21.503181662999996,95.9,Excellent,-8.23,1.79,1.52,22.427814994237,12.0163617613159,14.3889505876766,0.287658830402966
EQT,EQT Corporation,Energy Minerals,52.61,32.906399400000005,95.8,Excellent,-10.55,3.16,1.99,49.3297511907351,34.3857316787299,8.07005613396354,0.238563160022105
VLO,Valero Energy Corporation,Energy Minerals,267.76,79.506721335,95.6,Excellent,-6.31,2.68,2.37,5.88343474888656,3.3527102340420405,6.91235503095146,0.48139924591537503
SHOP,Shopify Inc.,Commercial Services,119.46,155.01782279556983,95.5,Excellent,-6.25,1.71,1.69,47.7935966311386,10.863276250033,9.52590666483484,0.014318854491640701
